News Headline,Number of words,Confidence Score,Decision,Sentiment
Strengthening the SME loan infrastructure in India,7,1,2,POSITIVE
Opinion | 5 fiscal messes India cant blame on the RBI,11,-1,0,NEGATIVE
What India GDP growth rate forecast for 2018 - 19 means,11,1,2,POSITIVE
Theresa May suffers early defeat to Brexit plans as parliament demands alternative,12,-1,0,NEGATIVE
Strengthening SME financing in India,5,1,2,POSITIVE
Opinion | Meghalaya mining tragedy exposes state complicity,8,-0.88,0,NEGATIVE
Asian millennials will drive consumption globally : Report,8,0.99,2,POSITIVE
Britain May suffers parliament defeat as Brexit debate restarts,9,-0.73,0,NEGATIVE
Fed official warns of US recession risk if rate hikes continue,11,-0.88,0,NEGATIVE
Farmers to get interest free loans in Ukhand soon : Trivendra Singh Rawat,13,0.83,2,POSITIVE
Mercedes - Benz India car sales rise 1 . 4 % in 2018,13,0.84,2,POSITIVE
Nation wants to know links between Congress and  Michel mama : PM Modi,13,0.93,2,POSITIVE
Copper touches 1 - week high on China demand optimism,10,-0.99,0,NEGATIVE
"Posco , Hyundai Steel are in India sight for tie - ups",12,1,2,POSITIVE
Bad debt at NBFCs set to rise amid high fund costs,11,-1,0,NEGATIVE
US - China trade talks conclude as hopes of a deal build,12,-0.98,0,NEGATIVE
Sri Lanka Central Bank gets $400 mn swap from RBI,10,-0.96,0,NEGATIVE
Will TCS be the best performing Sensex stock in 2019 ? ,11,0.99,2,POSITIVE
IBM faces lawsuit over alleged job cuts,7,-1,0,NEGATIVE
World Bank cuts global growth outlook as trade expansion falters,10,-1,0,NEGATIVE
Apple cuts first - quarter production plan for new iPhones by 10 %: Nikkei,14,-1,0,NEGATIVE
Apple cuts Q1 production plan for new iPhones by 10 %: Report,12,-1,0,NEGATIVE
"  In hindsight , my approach to build wealth was short term  ",11,-1,0,NEGATIVE
Flows to India equity mutual funds smallest in 23 months as demand cool,13,-1,0,NEGATIVE
Rupee opens marginally higher against dollar,6,-0.97,0,NEGATIVE
How segregation of toxic assets protects investors,7,0.81,2,POSITIVE
"Biofuels to boost farm income , energy security , help create jobs : PM Modi",15,0.95,2,POSITIVE
The mysterious lull in big technology ideas,7,-1,0,NEGATIVE
"NBFC crisis batters realty , home sales grow just 6 % in 2018",13,-0.99,0,NEGATIVE
Venture capital funding frenzy in B2B startups may continue in 2019,11,0.74,2,POSITIVE
Why CLSA downgrade of cement stocks was such a yawn,10,-1,0,NEGATIVE
Demand stability key for auto stock valuations to improve,9,1,2,POSITIVE
Q3 results unlikely to provide much cheer to investors,9,-1,0,NEGATIVE
Opinion | The potential of AI in empowering consumers,9,0.85,2,POSITIVE
Opinion | Why it time to end regulatory capture in realty sector,12,-0.9,0,NEGATIVE
"Sebi forms advisory panel for linkage of research , policy - making goals",13,0.99,2,POSITIVE
"London copper slips as dollar steadies , trade talks in focus",11,0.58,1,NEUTRAL
US markets open higher on US - China trade deal optimism,11,-0.75,0,NEGATIVE
"Donald Trump renews dig at Fed , expresses longing for lower interest rates",13,-0.76,0,NEGATIVE
Monsanto patent victory seen spurring biotech investment in India,9,-0.87,0,NEGATIVE
Rudratej Singh resigns as Royal Enfield president,7,-0.99,0,NEGATIVE
Samsung flags near 30 % slump in Q4 operating profit,10,-1,0,NEGATIVE
Opinion | Is it time to give up on the World Bank ? ,13,-0.93,0,NEGATIVE
Samsung shares Apple pain as technology slowdown hurts sales,9,-1,0,NEGATIVE
India GDP set to eclipse U by 2030 : StanChart,10,0.96,2,POSITIVE
"India bonds rally may have run its course , says UTI Mutual Funds",13,-0.99,0,NEGATIVE
"Honor View 20 with display cutout , 48MP camera to launch on 29 January",14,1,2,POSITIVE
Gold prices fall marginally today in futures trade,8,-0.8,0,NEGATIVE
Score that economy to business upgrade you always wanted on your next flight,13,1,2,POSITIVE
"Fear of losing money , terrorism among factors that keep India rich awake at night",15,0.78,2,POSITIVE
Rupee weakens against dollar as crude oil prices rise,9,-1,0,NEGATIVE
Opinion | How Indian indices are maturing,7,0.98,2,POSITIVE
What in store for the rupee in the new year ? ,11,-0.89,0,NEGATIVE
India jobs crisis & flaws in Gujarat model of development,10,-1,0,NEGATIVE
Why Rubique is in angel investor Akshay Mittal anti - portfolio,11,-1,0,NEGATIVE
Titan pre - quarterly update for Q3 brings cheer for investors,11,0.91,2,POSITIVE
Capital goods : Investor focus shifts to project execution as capex cycle wanes,13,-0.92,0,NEGATIVE
HDFC is the biggest winner in Bandhan - Gruh Finance merger,11,0.99,2,POSITIVE
US destroyer sails in disputed South China Sea amid trade talks,11,-0.76,0,NEGATIVE
Opinion | Disruption of mutual funds through algorithmic models,9,-0.99,0,NEGATIVE
"Opinion | Time to move away from individuals , partisan politics",11,-0.97,0,NEGATIVE
"US , China can reach trade deal we can live with : US Commerce secretary",15,0.93,2,POSITIVE
Temasek weighs options for stake in retailer A . S . Watson,12,-0.81,0,NEGATIVE
Copper steadies as traders eye US - China trade talks,10,0.96,2,POSITIVE
Opinion | 2019 : The year when the local clashes with the global,13,-0.75,0,NEGATIVE
Opinion | Financial markets reduce monetary policy to a farce,10,-0.59,1,NEUTRAL
Trade war  certainly  hurting Chinese economy : US Commerce Secretary,10,-0.99,0,NEGATIVE
India GDP growth rate seen reducing to 7 . 2 % in 2018 - 19,15,-0.72,0,NEGATIVE
Eli Lilly to buy Loxo Oncology in $8 billion cancer push,11,-0.97,0,NEGATIVE
"Gold , oil and copper : What to watch in commodities in 2019",13,1,2,POSITIVE
"Gold prices jump today , silver rates surge",8,0.89,2,POSITIVE
Gold futures rise today as global rates push higher,9,0.99,2,POSITIVE
Will take steps if there is liquidity shortage : RBI governor,11,0.55,1,NEUTRAL
Rupee jumps to 5 - month high against US dollar : 5 things to know,15,-0.99,0,NEGATIVE
Goldman slashes oil price forecasts as new supply seen plentiful,10,-0.95,0,NEGATIVE
CES 2019 : No Chinese tech executives will deliver keynotes,10,-1,0,NEGATIVE
"  Simmba  continues stronghold over box office , is a certified blockbuster",11,0.87,2,POSITIVE
Tesla to break ground on Shanghai plant as trade war lingers,11,-0.64,1,NEUTRAL
"Jet Airways offers up to 50 % discount on domestic , international routes",13,0.97,2,POSITIVE
What are some of the challenges in managing a debt portfolio ? ,12,-0.87,0,NEGATIVE
Rupee hits 5 - month high against US dollar,9,-1,0,NEGATIVE
Higher room tariffs are yet to sweeten return on capital for hotel chains,13,-0.62,1,NEUTRAL
PMI : Indian services providers more upbeat on business outlook than manufacturers,12,-0.57,1,NEUTRAL
Wedding called off due to voluntary reasons is not covered under insurance,12,-0.84,0,NEGATIVE
"Asian shares ride relief rally , Nikkei up over 2 % ",11,0.96,2,POSITIVE
Weakness in China economy gives Beijing incentive for trade deal : Donald Trump,13,-0.56,1,NEUTRAL
"Opinion | In the US vs China fight , chess is winning over Go right now",16,0.54,1,NEUTRAL
Tech stocks ride high on lower rupee in 2018,9,-1,0,NEGATIVE
Govt should amend Apprentice Act to create more jobs : Ficci Sandip Somany,13,-1,0,NEGATIVE
Opinion | Donald Trump long shutdown could destabilize the world,10,-1,0,NEGATIVE
"MFs add Rs 1 . 24 trillion to asset base in 2018 on SIP flows , strong retail participation",19,0.99,2,POSITIVE
OPEC strategy still a winner for members despite oil slump,10,1,2,POSITIVE
"FPIs pulled out Rs 83 , 000 crore in 2018 on oil prices , weak rupee",16,-1,0,NEGATIVE
"Apple woes not its gadgets , overshadow tech big trade show",11,-0.99,0,NEGATIVE
"Q3 earnings , US - China trade talks will drive markets this week",13,0.99,2,POSITIVE
Parliamentary panel asks RBI to fix dysfunctional ATMs,8,-0.99,0,NEGATIVE
How to calculate eligibility for tax exemption on LTA,9,0.61,1,NEUTRAL
World Bank global report has something positive to say about India,11,1,2,POSITIVE
PM Modi attacks Congress on Christian Michel role in stalling Rafale deal,12,-0.99,0,NEGATIVE
"TCS Q3 net profit surges 24 % to Rs 8 , 105 crore , revenue highest in 14 quarters",19,1,2,POSITIVE
Gold to shine better this year : World Gold Council,10,1,2,POSITIVE
"Sensex falls 106 pts , Nifty ends below 10 , 850 on weak global cues",15,-1,0,NEGATIVE
"Reserve Bank of India accountable to government , says reserves panel chairman Bimal Jalan",14,0.99,2,POSITIVE
"Sensex , Nifty open lower ; IndusInd Bank , Axis Bank , HDFC top losers",15,-0.97,0,NEGATIVE
Q3FY19 earnings preview : Brokerages estimate average revenue growth of 12 - 13 % ,14,0.92,2,POSITIVE
"Sensex closes 230 pts higher , Nifty settles above 10 , 850 led by FMCG , bank stocks",18,0.92,2,POSITIVE
"Sensex rises 200 points , Nifty crosses 10 , 850 ; Infosys , Axis Bank , Tata Motors top gainers",20,1,2,POSITIVE
RBI appoints Nandan Nilekani as chairman of high - level committee on digital payments in India,16,0.92,2,POSITIVE
"Sensex ends 130 points higher in choppy trade , Nifty holds 10 , 800 level ; banking , pharma stocks support",21,-0.65,1,NEUTRAL
World Bank President Jim Yong Kim to step down before end of term : Bulletin : Business Today,18,-0.85,0,NEGATIVE
SEBI slaps Rs 10 lakh fine on PRM Power for fraudulent trade,12,-1,0,NEGATIVE
"Sensex , Nifty trading lower ; PowerGrid , NTPC , Axis Bank top losers",14,-0.98,0,NEGATIVE
"World Bank President Jim Yong Kim to step down , CEO Kristalina Georgieva to take charge",16,0.61,1,NEUTRAL
"Sensex closes 155 points higher , Nifty below 10 , 800 ; Axis Bank , Tata Motors , Infosys top gainers",21,0.96,2,POSITIVE
GDP advance estimates : Government pegs economic growth at 7 . 2 % for FY19,15,-0.98,0,NEGATIVE
7th Pay Commission : Dearness Allowance bonanza for government employees,10,-0.64,1,NEUTRAL
"RBI says it is open to liquidity needs , ahead of shadow banker meeting",14,-0.52,1,NEUTRAL
Bandhan Bank : Board approves Anup Kumar Sinha as part - time Chairman,13,0.99,2,POSITIVE
KGF : Chapter 1 Box Office Collection Day 17 : Yash film makes Rs 198 . 5 crore,18,1,2,POSITIVE
"Stock market to remain volatile in 2019 ; All eyes on politics , capex and interest rates",17,-0.53,1,NEUTRAL
Yes Bank shortlists two names to replace Rana Kapoor as CEO,11,-0.78,0,NEGATIVE
Bharat Bandh for next 2 days : Farmers join 10 trade unions to protest against Modi govt policies,18,-0.98,0,NEGATIVE
"Sensex rises 276 points , Nifty breaches 10 , 800 ; Tata Motors , Vedanta , Tata Steel top gainers",20,0.99,2,POSITIVE
NBFC outlook 2019 : The tough and safe will get going,11,0.95,2,POSITIVE
"Public sector banks plan to close , rationalise 69 foreign branches",11,-0.99,0,NEGATIVE
OLX Group strengthens online job search portfolio with Aasaanjobs acquisition,10,1,2,POSITIVE
Laureti plans to drive in electric - SUV DionX in India in 2021,13,0.99,2,POSITIVE
"Overseas investors pull out Rs 83 , 000 crore in 2018 over rising crude prices , rupee depreciation",18,-0.99,0,NEGATIVE
Sudden surge in crude prices can upset the nation macro - stability : RBI economists,15,-0.97,0,NEGATIVE
Schindler hopes to make India its global manufacturing and R & D hub,13,1,2,POSITIVE
Parliamentary panel asks RBI to fix problem of dysfunctional ATMs to avoid forced cash crunch,15,0.59,1,NEUTRAL
"In India , Building Bridges Between Life and Art",9,1,2,POSITIVE
CBI Director Alok Verma sacked by selection committee - The Financial Express,12,-0.99,0,NEGATIVE
Direct Income Transfers : Learnings from Telangana Rythu Bandhu and Odisha KALIA,12,0.98,2,POSITIVE
Renault India losses in FY18 grow over twofold to Rs 850 crore,12,-1,0,NEGATIVE
Managing e - waste : Making cash from electronic trash - The Financial Express,14,-0.97,0,NEGATIVE
Trade deficit : India meets its match in the US as both countries now looking for local,17,-0.78,0,NEGATIVE
"A trade deal is only half the fight , getting it to stick is the real challenge",17,-0.97,0,NEGATIVE
Tax on Employee Stock Ownership Plan is as perquisites or capital gains ? ,13,-1,0,NEGATIVE
"Ayodhya hearing delayed again : Justice Lalit recuses , new bench to meet on January 29",16,0.51,1,NEUTRAL
"Rafale deal : PM Modi launches stinging counter - attack , questions middleman Michel role",15,0.97,2,POSITIVE
Edtech startup Eruditus eyes unicorn status ; raises $40 million from Sequoia India,13,0.96,2,POSITIVE
"Government employees lead the way for cleaner , greener Electric Cars : Government cars to go electric soon ! ",19,0.99,2,POSITIVE
"Simmba Box Office collection Day 13 : Sara Ali Khan , Ranveer Singh starrer beats Golmaal Again , earns Rs 208 . 14 crore",24,1,2,POSITIVE
"SBI inches closer to raise $1 . 4 billion via share sale ; hires Kotak Mahindra Bank , others as bankers",21,-0.98,0,NEGATIVE
Ola adds $74 million to its war chest in global battle with Uber,13,1,2,POSITIVE
GST Council meet : Relief for small businesses as exemption limit doubled ; key things to know,17,0.83,2,POSITIVE
Relax ! Do not blindly exit debt mutual funds ; Here an investment strategy for 2019,16,0.94,2,POSITIVE
Budget 2019 : Where does government spend its money ? Here is all you need to know,17,-1,0,NEGATIVE
Becoming eco - friendly ! Airports to go green as AAI announces ban on single - use plastic items,19,0.99,2,POSITIVE
Air India allows economy class flyers to bid for business class ; also takes this step to cut costs,19,0.97,2,POSITIVE
"Share market LIVE updates : Sensex slips 50 points , Nifty below 10 , 850 ; TCS , IndusInd Bank shares down",22,-1,0,NEGATIVE
Rupee edges 15 paise higher against US dollar in early morning trade ; 10 - year govt bonds yields fall,20,-1,0,NEGATIVE
Dus ka dum for Modi govt : Parliament okays 10 % quota for poor in general category,17,-1,0,NEGATIVE
Trade wars : US pushes China on promises after  in - depth  trade meetings,14,-0.72,0,NEGATIVE
"Oil prices : Crude bounces back to bull market fueled by OPEC cuts , trade talks",16,-0.87,0,NEGATIVE
Morning briefing : Five things you need to know to start your day,13,0.97,2,POSITIVE
Stock rally eases with Asia mixed ; Yuan holds gain : Markets Wrap,13,0.56,1,NEUTRAL
"Closure of two production units wont impact India operations , says Pfizer",12,-1,0,NEGATIVE
Intel bets big on data centre business in India - The Financial Express,13,-0.92,0,NEGATIVE
"PNB Metlife , ESAF tie up for life insurance distribution",10,1,2,POSITIVE
"Digital Tech Trends : Internet of things , AI , Blockchain are 3 tech set to have a huge impact in 2019",22,1,2,POSITIVE
Digital economy : Tech essential to bridge India skill gap,10,1,2,POSITIVE
M & M arm sets up grape pack house unit at Nashik - The Financial Express,16,0.59,1,NEUTRAL
The cost of political expediency is a fiscal mess governments cant blame on RBI,14,-0.99,0,NEGATIVE
E - cigarette ban : A case study in bad policymaking - The Financial Express,15,-1,0,NEGATIVE
Fixing India industrial dynamics by policy action and reform,9,0.98,2,POSITIVE
"Diplomats from India , 11 other countries visit China Xinjiang province",11,0.7,2,POSITIVE
Farmers to get interest free loans in Uttarakhand soon : CM,11,0.76,2,POSITIVE
Who wants to be the next PayPal ? - The Financial Express,12,-0.59,1,NEUTRAL
Ashok Leyland gets massive order of 2580 buses from three STUs : Delivery before March 2019,16,0.86,2,POSITIVE
GST will boost India economic growth in coming years : India Inc,12,0.99,2,POSITIVE
"Apple to cut iPhone production by 10 %, says Nikkei - The Financial Express",14,-1,0,NEGATIVE
Five fiscal failures for which Modi govt cant blame RBI : GST and more,14,-1,0,NEGATIVE
"MG Motor India first SUV named Hector : Tata Harrier , Jeep Compass rival as huge as Toyota Fortuner ! ",20,0.89,2,POSITIVE
Want to invest for 2 years ? Here is how you may generate more returns than bank FDs,18,-0.8,0,NEGATIVE
"India set to become third - largest consumer market , says WEF ; these factors to drive consumption growth",19,1,2,POSITIVE
Skies darkening over global economy : World Bank - The Financial Express,12,-0.84,0,NEGATIVE
"India GDP expected to grow at 7 . 3 pc in 2018 - 19 , says World Bank",18,0.5,1,NEUTRAL
Apple Tim Cook got big pay bump in 2018 - The Financial Express,13,-0.86,0,NEGATIVE
NTR Kathanayakudu released : 5 facts about NTR that we would see in the biopic ! ,16,1,2,POSITIVE
Rupee gains 17 paise to 70 . 04 per US dollar in early morning trade,15,-0.99,0,NEGATIVE
"Petrol , diesel prices kept unchanged for second day ; petrol at Rs 68 . 50 per litre in Delhi",20,0.6,1,NEUTRAL
"Share market LIVE updates : Sensex , Nifty likely to open higher on global cues ; Yes Bank , IndusInd Bank in focus",23,0.85,2,POSITIVE
Oil prices : Crude climbs to 3 - week high as trade talks fuel demand optimism,16,-0.92,0,NEGATIVE
Belt and Road is More chaos than conspiracy : David Fickling,11,-0.85,0,NEGATIVE
Asia stocks rise on trade - thaw hopes ; Dollar slips : Markets wrap,14,-0.99,0,NEGATIVE
"Dollar gains as euro falls , but outlook stays weak - The Financial Express",14,-1,0,NEGATIVE
"Donald Trump to focus on border  crisis , seek support for wall in televised address",15,-0.83,0,NEGATIVE
Oil prices rise over 2 per cent on trade talk optimism - The Financial Express,15,-0.87,0,NEGATIVE
Impact on US government widens on 18th day of shutdown - The Financial Express,14,-0.87,0,NEGATIVE
RBI sets up Nandan Nilekani - led panel on digital payments,11,0.92,2,POSITIVE
Farmer producer firm shows women the ropes in farming - The Financial Express,13,1,2,POSITIVE
Numbers dont lie : There is a real job crisis - The Financial Express,14,-0.64,1,NEUTRAL
Flows into equity Mutual Funds slow to 27 - month low in December,13,-1,0,NEGATIVE
Shrimp export growth to slow down : Icra - The Financial Express,12,-0.99,0,NEGATIVE
Agriculture marketing is really the key - The Financial Express,10,0.98,2,POSITIVE
"Skies darkening over the global economy , says World Bank",10,-0.84,0,NEGATIVE
Stocks rise on US - China trade talk hopes - The Financial Express,13,-0.93,0,NEGATIVE
Side pocketing : Here are pros and cons for retail investors,11,-0.63,1,NEUTRAL
Here how you can design a well - diversified mutual fund portfolio,12,0.96,2,POSITIVE
Data storage : Enterprise set to become world data steward,10,1,2,POSITIVE
Estimated 29 % drop : Weak chip demand hits Samsung Q4 profit,12,-1,0,NEGATIVE
Federal Reserve may get less bang for the buck if it repeats 2016 rate pause,15,-1,0,NEGATIVE
"Not considering any proposal to give more powers to RBI , says Government",13,-0.99,0,NEGATIVE
Wall Street set to open higher on trade deal hopes - The Financial Express,14,-0.91,0,NEGATIVE
"Gold dips as dollar gains , trade deal hopes lift stocks - The Financial Express",15,-1,0,NEGATIVE
Kim Jong - un arrives in China for talks ; Beijing denies using him as bargaining chip with US,19,-1,0,NEGATIVE
"Demonetisation , GST hit growth in gold jewel industry , says gem and jewellery body",15,-0.89,0,NEGATIVE
LG unveils  world first  rollable OLED 4K TV at CES 2019 alongside six 8K LED TV models,17,1,2,POSITIVE
"India , Norway to work together on SDGs and Ocean Economy",11,0.99,2,POSITIVE
"RRB JE Recruitment 2019 : Indian Railways job aspirants alert ! Check syllabus , exam pattern for stage 1 and 2",21,0.96,2,POSITIVE
2019 stock market strategy : Here where retail investors can look to invest,13,0.93,2,POSITIVE
"Job loss : IT , ITes , BPO hiring may slow down ; automation and tighter US visa rules to blame",21,-1,0,NEGATIVE
Mobile wallet transactions fall in November as firms shut out of Aadhaar KYC to enrol new customers,17,-1,0,NEGATIVE
"Withings Move ECG , a Rs 9 , 200 - alternative to Apple Watch Series 4 , launched at CES 2019",21,0.99,2,POSITIVE
Monsanto share price surges over 13 % after SC allows parent to claim GM cotton patents,16,-0.69,1,NEUTRAL
Simmba box office collection Day 11 : Ranveer Singh film crosses Rs 70 - crore mark abroad,17,0.99,2,POSITIVE
"Know your budget : What it is , who makes it , where money comes from , where it goes - all in a nutshell",25,0.52,1,NEUTRAL
Who is Gita Gopinath ? First woman ever to join IMF as chief economist,14,0.91,2,POSITIVE
"Amazon , Netflix push Wall Street higher ; resumption of US - China trade talks eased concerns",17,0.86,2,POSITIVE
"Asian shares propped up by hopes for Sino - US trade deal , cautious Fed",15,-1,0,NEGATIVE
Chasing dollars : Indian firms to rush bond sales ahead of Lok Sabha elections,14,-0.83,0,NEGATIVE
Dollar eases in Asian trade on expectations of Fed pause,10,0.71,2,POSITIVE
Samsung feels Apple pain as technology slowdown hits sales,9,-1,0,NEGATIVE
"US oil prices edge up on trade talk hopes , OPEC cuts - The Financial Express",16,-0.87,0,NEGATIVE
"GDP grows 7 . 2 per cent in FY 19 , a three - year high - The Financial Express",20,0.56,1,NEUTRAL
"Oil rises ; lifted by OPEC cuts , steadying stock market - The Financial Express",15,0.98,2,POSITIVE
Onion prices in Maharashtra Lasalgaon crash to Rs 170 a quintal,11,-1,0,NEGATIVE
The mystery behind India high inflationary expectations,7,-0.97,0,NEGATIVE
"Steel sector to get boost from government budget spending , credit flow in Q4",14,0.57,1,NEUTRAL
Laying foundation of strong and more resilient Indian Ocean,9,1,2,POSITIVE
2019 looks good for bond fund investors - The Financial Express,11,0.89,2,POSITIVE
Amazon and Netflix push Wall Street higher - The Financial Express,11,0.9,2,POSITIVE
Amazon emerges as most valuable US firm amid market turmoil,10,0.99,2,POSITIVE
Trade talk optimism boosts stocks ; rate outlook hits dollar,10,0.9,2,POSITIVE
Here why you need to make full disclosure to health insurer,11,-0.98,0,NEGATIVE
Dollar slides on bets of Fed pausing US rate hikes - The Financial Express,14,-1,0,NEGATIVE
"Amid protests over Sabarimala issue , Kerala HC says no shutdown without a week notice",15,-0.86,0,NEGATIVE
"7 . 2 % GDP growth rate very healthy , says Economic Affairs Secretary Subhash Chandra Garg",17,0.99,2,POSITIVE
CSO pegs India GDP to grow at 7 . 2 % in FY19 - The Financial Express,17,-0.75,0,NEGATIVE
"Bandhan Bank , Gruh Finance shares plunge up to 6 % amid media reports of likely merger",17,-0.99,0,NEGATIVE
Will welcome UN officials to visit Muslim - majority Xinjiang region : China,13,0.9,2,POSITIVE
IL crisis makes hole in investor pockets : Who is to be blamed for putting debt funds at risk ? ,20,-0.99,0,NEGATIVE
Norway seeks stronger trade ties and piggy riding ISRO PSLV / SSLV launchers,13,-1,0,NEGATIVE
"Securities transaction tax needs to be scrapped ; 2019 may offer positive returns , says Nithin Kamath , Zerodha",19,-1,0,NEGATIVE
"After LinkedIn and Quikr , here how OLX growing its jobs vertical",12,0.81,2,POSITIVE
Nexus Ventures - backed co - living startup Zolo raises $30 million in Series B funding,16,0.71,2,POSITIVE
"17 - year - old Telangana girl cracks CAT in first attempt , scores impressive 95 . 95 percentile",19,-0.96,0,NEGATIVE
"Sensex zooms 380 points , Nifty above 10 , 800 : Three key global factors behind stock market rally",19,1,2,POSITIVE
Direct tax collections surge 14 % on - year in April - December period ; key figures in a nutshell,20,0.89,2,POSITIVE
"1 crore jobs lost in 2018 : Unemployment rate hits 27 - month high in December , says CMIE ; key things to know",24,-0.94,0,NEGATIVE
Rupee hits 5 - month high ; up 38 paise to 69 . 35 per US dollar in early morning trade,21,-1,0,NEGATIVE
"Wall Street rebounds on robust jobs report , dovish Jerome Powell remarks",12,-0.94,0,NEGATIVE
China fighting machine : Fighter - Jet makers a rare bright spot in Chinese market,15,1,2,POSITIVE
"US dollar weak on Powell views ; China easing , trade optimism lift Aussie dollar",15,-1,0,NEGATIVE
"Asia stocks rise on Fed , China policy boost - The Financial Express",13,-0.62,1,NEUTRAL
Wall Street week ahead : Fund managers hoping for stock rally look to emerging markets,15,0.82,2,POSITIVE
"Share market LIVE updates : Sensex , Nifty may open strong on positive global cues ; Titan , Lupin in focus",21,0.78,2,POSITIVE
"Crude oil rises on trade talks and supply cuts , but economic slowdown looms",14,-0.99,0,NEGATIVE
Crude shocker can be rude shocks for economy : RBI economists,11,-0.92,0,NEGATIVE
"Political parties must focus on development rather than giving freebies , says VP Venkaiah Naidu",15,-0.81,0,NEGATIVE
"FE Best Banks Awards : The Jury is in , countdown begins - The Financial Express",16,0.99,2,POSITIVE
It is safe to allow a slightly higher fiscal deficit at this juncture : Ficci president Sandip Somany,18,0.76,2,POSITIVE
"MSPs , farm loan waivers or direct income support ? - The Financial Express",14,-0.99,0,NEGATIVE
"Iran not doing well , wants to talk , says US President Donald Trump",14,-1,0,NEGATIVE
Concerns over growth are overstated - The Financial Express,9,-0.99,0,NEGATIVE
Supreme Court admits Vodafone Idea appeal in tax matter,9,-0.66,1,NEUTRAL
"It would have been more sense to provide private banks incentives to open rural branches , says Meghnad Desai",19,-0.96,0,NEGATIVE
India Inc must look to invest in corporate training - The Financial Express,13,0.7,2,POSITIVE
"Here what management and IT students must know about digital India , e - governance",15,0.99,2,POSITIVE
Here how skilling can raise the bar of human capital ? - The Financial Express,15,0.75,2,POSITIVE
NSE and IIT Kanpur to strengthen cybersecurity solutions,8,0.99,2,POSITIVE
Election year : What your election strategy ? - The Financial Express,12,-0.88,0,NEGATIVE
Here are five simple ways to make money work for you - The Financial Express,15,-0.63,1,NEUTRAL
Food tech : What meals mean business - The Financial Express,11,-0.58,1,NEUTRAL
"Fake news menace can only be controlled by people through self - restraint , says Rajyavardhan Singh Rathore",18,-0.99,0,NEGATIVE
"For first time , Indigo , other domestic carriers inducted over 100 aircraft last year",15,0.95,2,POSITIVE
Farmers to join central trade unions strike on January 8 - 9,12,-0.97,0,NEGATIVE
"Mutual Funds add Rs 1 . 24 lakh cr to asset base in 2018 on SIP flows , strong retail participation",21,0.98,2,POSITIVE
Empty ATMs : Parliamentary panel nudges RBI to fix the problem,11,-0.85,0,NEGATIVE
"Earnings , global trends to drive markets this week , says experts",12,1,2,POSITIVE
China dollar debt : A crisis in the making - The Financial Express,13,-0.97,0,NEGATIVE
"International Kite Festival to help in employment generation and support the local economy : SJ Haider , Gujarat Principal Secretary Tourism",21,1,2,POSITIVE
"US , China dealing trade talks at highest levels - The Financial Express",13,0.96,2,POSITIVE
Oil prices : OPEC strategy still a winner for members despite crude slump,13,0.99,2,POSITIVE
Market : Nikkei closes at near one - month high ; strong Chinese shares boost mood,16,-0.95,0,NEGATIVE
The shutdown today : Democrats decline White House invite,9,-1,0,NEGATIVE
UK Parliament rejects PM May EU divorce deal by 230 votes,11,-0.63,1,NEUTRAL
"Telecom gear from europe as safe or unsafe as China , says 5G panel head",15,-1,0,NEGATIVE
"With 3 big joint ventures , Infosys searches for love in Tokyo",12,0.99,2,POSITIVE
Lok Sabha elections 2019 : View : Mayawati has a better chance of becoming PM than Rahul Gandhi,18,-0.66,1,NEUTRAL
"Global CEOs worried about digital companies , customer loyalty in 2019 : Protiviti report",14,0.54,1,NEUTRAL
"sensex : After Market : Lupin , ACC above 200 - DMAs ; 91 stocks look bullish",17,-1,0,NEGATIVE
"Syndicate Bank creates vertical to recover Rs 27 , 000 crore NPAs",12,-0.99,0,NEGATIVE
Monetray policy : Caution is the watchword for the world top central banks,13,0.89,2,POSITIVE
"Rupee : Rupee slips further , settles below 71 level against dollar",12,-1,0,NEGATIVE
British Prime Minister faces defeat in historic Brexit deal vote,10,-0.92,0,NEGATIVE
"Honor 10 Lite with AI selfie camera launched at Rs 13 , 999",13,0.95,2,POSITIVE
Toyota 2020 Supra : Toyota unveils first 2020 Supra in 21 years at Detroit Auto Show for $50K,18,1,2,POSITIVE
From banking to comedy : Vikram Poddar knows that laughter is a serious business,14,1,2,POSITIVE
"crop loans : MP CM Kamal Nath launches Rs 50 , 000 cr farm loan waiver scheme",17,0.51,1,NEUTRAL
Nifty : Tech View : Nifty forms  Bullish Diamond  pattern as bulls bounce back,14,0.94,2,POSITIVE
"Market : China stimulus , rate cut hopes take Sensex , Nifty higher",13,-0.91,0,NEGATIVE
"India needs a decisive PM , not maverick leadership : Arun Jaitley",12,-0.79,0,NEGATIVE
Dipan Mehta : Makes sense to buy these five chemical companies on correction : Dipan Mehta,16,-0.97,0,NEGATIVE
Bengaluru tops list of world most dynamic cities : Survey,10,1,2,POSITIVE
"Ridham Desai : We are in a new capex cycle and a slew of stocks could double in next couple of years : Ridham Desai , Morgan Stanley India",29,0.99,2,POSITIVE
"Zee Q3 Result : Zee Entertainment Q3 profit jumps 50 % YoY to Rs 562 crore , beats Street estimates",20,-0.92,0,NEGATIVE
"Dhirendra Kumar : Against gold as an asset class as it can surprise you even in the short run : Dhirendra Kumar , Value Research",25,0.96,2,POSITIVE
Here is what Jimmy Patel Of Quantum Mutual Fund expects from Budget 2019,13,-0.53,1,NEUTRAL
RBI rate cut : Subdued inflation opens room for RBI rate cut in February,14,0.94,2,POSITIVE
